AnchorID,Anchor_X,Anchor_Y,RSSI,MobileID,MobileX,MobileY
x40F754A7,0,0,52,x4152F33E,0,-2
x40E5F2A6,0,2,54,x4152F33E,0,-2
x415634FA,2,0,55,x4152F33E,0,-2
