AnchorID,Anchor_X,Anchor_Y,RSSI,MobileID,MobileX,MobileY
x40F754A7,0,0,59,x4152F33E,4,0
x40E5F2A6,0,2,58,x4152F33E,4,0
x415634FA,2,0,50,x4152F33E,4,0
